
TextDatabase/0.txt

WORD ROOTS COUNT FOR FILE: TextDatabase/0.txt

WORD ROOT	COUNTS		FREQUENCY
      grow         1         0.000120395
     guard         5         0.000601974
       gun        13          0.00156513
    gunner         2          0.00024079
      gust         1         0.000120395
       had        33          0.00397303
      hail         1         0.000120395
      half         3         0.000361185
      hall         1         0.000120395
      halt         2          0.00024079
    hamper         1         0.000120395
      hand         4          0.00048158
    hanley         1         0.000120395
      hard         2          0.00024079
       has         3         0.000361185
      have        12          0.00144474
        he         3         0.000361185
      head         2          0.00024079
 headquart         1         0.000120395
     heard         1         0.000120395
     heart         1         0.000120395
     heath         1         0.000120395
     heavi         2          0.00024079
   heavili         1         0.000120395
      hedg         1         0.000120395
      heel         2          0.00024079
    height         2          0.00024079
      held         4          0.00048158
heliograph         1         0.000120395
    helion         2          0.00024079
     henri         1         0.000120395
      here         4          0.00048158
     hesit         1         0.000120395
    heydon         2          0.00024079
      high         6         0.000722369
    higher         1         0.000120395
      hill         6         0.000722369
     hilli         1         0.000120395
   hillsid         1         0.000120395
   hilltop         1         0.000120395
       him         2          0.00024079
       his         6         0.000722369
   hitchin         1         0.000120395
      hold         4          0.00048158
   holland         1         0.000120395
      home         1         0.000120395
      hope         4          0.00048158
  hopeless         1         0.000120395
      hors         8         0.000963159
   hosieri         2          0.00024079
    hostil         1         0.000120395
     hotel         2          0.00024079
      hour         2          0.00024079
      hous         5         0.000601974
       how         1         0.000120395
     howev         5         0.000601974
    howitz         4          0.00048158
      huge         1         0.000120395
    humber         1         0.000120395
     hundr         3         0.000361185
      hung         1         0.000120395
    hungri         1         0.000120395
      hurl         1         0.000120395
     hurri         1         0.000120395
         i         6         0.000722369
  icknield         1         0.000120395
       idl         2          0.00024079
        if         2          0.00024079
     iiird         3         0.000361185
      iind         3         0.000361185
     immin         1         0.000120395
    impass         1         0.000120395
  impenetr         1         0.000120395
   impetus         1         0.000120395
    import         1         0.000120395
    imposs         2          0.00024079
    improv         1         0.000120395
        in        88           0.0105948
   increas         1         0.000120395
      inde         1         0.000120395
    indemn         1         0.000120395
     indic         1         0.000120395
  indiffer         1         0.000120395
indistinguish         1         0.000120395
    indoor         1         0.000120395
  industri         2          0.00024079
   inestim         1         0.000120395
  infantri        12          0.00144474
    inform         3         0.000361185
   inhabit         1         0.000120395
  intellig         1         0.000120395
    intens         2          0.00024079
    intent         4          0.00048158
  intermin         1         0.000120395
      into         9          0.00108355
    intric         1         0.000120395
     invad         3         0.000361185
    invalu         1         0.000120395
     invas         5         0.000601974
  investig         1         0.000120395
   ipswich         1         0.000120395
        is        11          0.00132434
      issu         4          0.00048158
        it        34          0.00409343
    itself         3         0.000361185
       ive         2          0.00024079
      ivth         8         0.000963159
      ixth         1         0.000120395
       jpg         2          0.00024079
  junction         2          0.00024079
      just         2          0.00024079
    kaiser         1         0.000120395
   kelshal         1         0.000120395
    ketter         1         0.000120395
      kill         1         0.000120395
      kind         1         0.000120395
   kleppen         1         0.000120395
      knew         1         0.000120395
  knowledg         1         0.000120395
     known         1         0.000120395
  kronhelm         1         0.000120395
      lace         1         0.000120395
      larg         2          0.00024079
    larger         2          0.00024079
      last         2          0.00024079
     later         3         0.000361185
    latter         1         0.000120395
       lay         1         0.000120395
      lead         2          0.00024079
      leav         2          0.00024079
       led         1         0.000120395
      leek         1         0.000120395
      left         6         0.000722369
   leicest         1         0.000120395
      lent         1         0.000120395
    letter         2          0.00024079
       lie         1         0.000120395
      like         2          0.00024079
    limber         1         0.000120395
   lincoln         2          0.00024079
lincolnshir         1         0.000120395
      line        14          0.00168553
  linesmen         1         0.000120395
      lion         1         0.000120395
    lister         1         0.000120395
     littl         3         0.000361185
      live         2          0.00024079
 liverpool         1         0.000120395
    london         5         0.000601974
      long         8         0.000963159
      look         3         0.000361185
   loophol         1         0.000120395
      lord         1         0.000120395
      lose         1         0.000120395
      loss         1         0.000120395
      lost         3         0.000361185
loughborough         1         0.000120395
     loung         1         0.000120395
       low         3         0.000361185
     lower         1         0.000120395
lowerfield         1         0.000120395
         m         2          0.00024079
macclesfield         1         0.000120395
  mackenzi         1         0.000120395
      made         7         0.000842764
   magazin         1         0.000120395
 magdeburg         1         0.000120395
  magnific         5         0.000601974
      mail         1         0.000120395
      main         8         0.000963159
      make         2          0.00024079
       man         1         0.000120395
     manag         1         0.000120395
  manchest         4          0.00048158
      mani         4          0.00048158
  mannheim         1         0.000120395
   manœuvr         2          0.00024079
     march         2          0.00024079
    market         3         0.000361185
   marshal         1         0.000120395
      mass         5         0.000601974
    materi         1         0.000120395
     maxim         1         0.000120395
       may         3         0.000361185
     mayor         2          0.00024079
  melbourn         4          0.00048158
       men        11          0.00132434
     menac         1         0.000120395
      mere         1         0.000120395
 metropoli         1         0.000120395
   midland         2          0.00024079
      mile         9          0.00108355
     milit         1         0.000120395
  militari         2          0.00024079
   militia         5         0.000601974
      mill         1         0.000120395
      mind         1         0.000120395
     mingl         1         0.000120395
    minton         1         0.000120395
     minut         4          0.00048158
      mist         1         0.000120395
     misti         2          0.00024079
    moment         1         0.000120395
 momentari         1         0.000120395
      more         4          0.00048158
      morn         3         0.000361185
      most         5         0.000601974
     motor         1         0.000120395
     mount         7         0.000842764
     mouth         2          0.00024079
      move         3         0.000361185
  movement         2          0.00024079
       mow         1         0.000120395
        mr         1         0.000120395
      much         3         0.000361185
      must         3         0.000361185
        my         1         0.000120395
         n         2          0.00024079
    narrow         1         0.000120395
 naturalis         1         0.000120395
      navi         1         0.000120395
       nay         1         0.000120395
        nd         2          0.00024079
      near        10          0.00120395
 necessari         2          0.00024079
neighbourhood         2          0.00024079
    newark         1         0.000120395
 newmarket         4          0.00048158
      news         3         0.000361185
   newspap         1         0.000120395
     night         5         0.000601974
  nightfal         1         0.000120395
  nightmar         1         0.000120395
        no         5         0.000601974
       non         1         0.000120395
      noon         3         0.000361185
    normal         1         0.000120395
     north        15          0.00180592
northampton         2          0.00024079
  northern         3         0.000361185
 northward         3         0.000361185
   norwich         1         0.000120395
       not        12          0.00144474
     notic         1         0.000120395
nottingham         2          0.00024079
       now         9          0.00108355
    number         3         0.000361185
         o         1         0.000120395
    obtain         3         0.000361185
    occupi         5         0.000601974
        of       182           0.0219119
       off         2          0.00024079
     offer         1         0.000120395
     offic         3         0.000361185
       old         4          0.00048158
        on        51          0.00614014
       onc         5         0.000601974
       one        10          0.00120395
      onli         4          0.00048158
      open         6         0.000722369
   opposit         1         0.000120395
   oppress         1         0.000120395
        or         7         0.000842764
     order         6         0.000722369
    origin         2          0.00024079
    ostens         1         0.000120395
     other         7         0.000842764
     ought         1         0.000120395
       our        55          0.00662172
       out        10          0.00120395
   outpost         3         0.000361185
    outsid         1         0.000120395
  outskirt         1         0.000120395
      over         5         0.000601974
 overwhelm         1         0.000120395
         p         3         0.000361185
packington         3         0.000361185
     palac         1         0.000120395
     panic         1         0.000120395
  panorama         1         0.000120395
  parallel         1         0.000120395
      park         1         0.000120395
      part         7         0.000842764
   partial         1         0.000120395
      pass         1         0.000120395
patricroft         1         0.000120395
    patrol         3         0.000361185
      paus         1         0.000120395
   peacock         1         0.000120395
      pend         1         0.000120395
     peopl         3         0.000361185
    perhap         1         0.000120395
    perish         1         0.000120395
   placard         1         0.000120395
     place         7         0.000842764
   plantat         1         0.000120395
      play         1         0.000120395
     point         3         0.000361185
     polic         3         0.000361185
   portion         2          0.00024079
     posit        19           0.0022875
   possibl         5         0.000601974
      post         3         0.000361185
   potteri         1         0.000120395
    potton         2          0.00024079
     pound         1         0.000120395
      pour         3         0.000361185
 powerless         1         0.000120395
   practic         1         0.000120395
preliminari         1         0.000120395
    prepar         1         0.000120395
     press         1         0.000120395
    pretti         1         0.000120395
  previous         3         0.000361185
    prison         3         0.000361185
   probabl         2          0.00024079
  proclaim         1         0.000120395
   proclam         2          0.00024079
  programm         1         0.000120395
 projectil         2          0.00024079
   promulg         1         0.000120395
   protect         1         0.000120395
     proud         1         0.000120395
     prove         2          0.00024079
    provis         1         0.000120395
    public         3         0.000361185
   publish         1         0.000120395
    punish         1         0.000120395
     pupil         1         0.000120395
      push         2          0.00024079
       put         1         0.000120395
  quantiti         1         0.000120395
   quarter         3         0.000361185
       qui         1         0.000120395
     quick         1         0.000120395
      quit         1         0.000120395
   radford         1         0.000120395
     rafal         1         0.000120395
      rage         1         0.000120395
   railway         2          0.00024079
       ran         4          0.00048158
      rang         6         0.000722369
     rapid         1         0.000120395
     reach         2          0.00024079
     readi         1         0.000120395
      rear         1         0.000120395
    receiv         3         0.000361185
    reckon         1         0.000120395
reconnoitr         1         0.000120395
    regain         1         0.000120395
    regard         1         0.000120395
  regiment         1         0.000120395
   regular         3         0.000361185
    reiter         1         0.000120395
     relat         1         0.000120395
   remnant         1         0.000120395
    render         1         0.000120395
     repli         1         0.000120395
    report         9          0.00108355
    repres         1         0.000120395
    repuls         1         0.000120395
    requir         1         0.000120395
    reserv         3         0.000361185
     resid         1         0.000120395
    resist         1         0.000120395
   resourc         1         0.000120395
   respect         1         0.000120395
    restor         1         0.000120395
   retford         1         0.000120395
     retir         1         0.000120395
   retreat         1         0.000120395
      ride         1         0.000120395
      ridg         4          0.00048158
      rifl         1         0.000120395
     right         7         0.000842764
      rise         1         0.000120395
      risk         1         0.000120395
     river         1         0.000120395
      road        14          0.00168553
   roadsid         1         0.000120395
   roadway         1         0.000120395
     roman         1         0.000120395
      rose         1         0.000120395
     round         1         0.000120395
      rout         2          0.00024079
     royal         1         0.000120395
   royston        16          0.00192632
      ruin         1         0.000120395
       run         5         0.000601974
      rush         1         0.000120395
         s        15          0.00180592
      sack         1         0.000120395
      safe         1         0.000120395
   saffron         6         0.000722369
    sandon         1         0.000120395
   sanguin         1         0.000120395
   saracen         1         0.000120395
      save         3         0.000361185
       saw         3         0.000361185
       say         1         0.000120395
   scatter         1         0.000120395
     score         1         0.000120395
    scotch         1         0.000120395
  scotland         1         0.000120395
    screen         1         0.000120395
       sea         2          0.00024079
    search         2          0.00024079
    second         1         0.000120395
       see         3         0.000361185
      seem         2          0.00024079
      seen         1         0.000120395
      seiz         1         0.000120395
    select         1         0.000120395
    sensat         1         0.000120395
      sent         1         0.000120395
   septemb         2          0.00024079
      seri         1         0.000120395
      serv         3         0.000361185
       set         1         0.000120395
     seven         2          0.00024079
     sever         6         0.000722369
       sex         1         0.000120395
     shall         1         0.000120395
 sheffield         6         0.000722369
     shell         2          0.00024079
   shelter         1         0.000120395
  shipston         1         0.000120395
     shock         1         0.000120395
      shop         1         0.000120395
     short         2          0.00024079
   shorter         1         0.000120395
      shot         2          0.00024079
    should         5         0.000601974
      show         3         0.000361185
  shrapnel         1         0.000120395
      shut         1         0.000120395
      side         1         0.000120395
     sight         2          0.00024079
      silk         2          0.00024079
   similar         2          0.00024079
    simpli         1         0.000120395
  simultan         1         0.000120395
      sinc         1         0.000120395
       sir         3         0.000361185
    situat         1         0.000120395
      size         1         0.000120395
  skirmish         3         0.000361185
      slip         1         0.000120395
     slope         2          0.00024079
     smash         1         0.000120395
     snake         1         0.000120395
        so         4          0.00048158
   soldier         1         0.000120395
      some         2          0.00024079
  somewher         1         0.000120395
      soon         2          0.00024079
     south         8         0.000963159
     space         1         0.000120395
     spare         1         0.000120395
   special         1         0.000120395
       spi         3         0.000361185
      spot         1         0.000120395
     spout         1         0.000120395
    sprang         2          0.00024079
    spread         4          0.00048158
      spur         4          0.00048158
  squadron         2          0.00024079
        st         6         0.000722369
     staff         3         0.000361185
  stafford         1         0.000120395
     stand         3         0.000361185
 standstil         2          0.00024079
     start         1         0.000120395
     starv         2          0.00024079
     state         7         0.000842764
   station         2          0.00024079
    steadi         1         0.000120395
 steelwork         1         0.000120395
     still         2          0.00024079
     stoke         1         0.000120395
  stonebow         3         0.000361185
     stood         1         0.000120395
     stour         1         0.000120395
 straggler         1         0.000120395
  straight         2          0.00024079
  strategi         1         0.000120395
    stream         2          0.00024079
    street         9          0.00108355
strengthen         2          0.00024079
  stricken         1         0.000120395
     strip         1         0.000120395
    stroke         4          0.00048158
    strong         2          0.00024079
    strove         1         0.000120395
  structur         1         0.000120395
     stump         1         0.000120395
   subject         1         0.000120395
   submiss         1         0.000120395
subterranean         1         0.000120395
   succeed         3         0.000361185
   success         3         0.000361185
      such         5         0.000601974
    summer         1         0.000120395
    sunday         1         0.000120395
    suppli         1         0.000120395
   support         2          0.00024079
    suppos         2          0.00024079
   suspici         1         0.000120395
    sutton         1         0.000120395
     swath         1         0.000120395
     sweep         1         0.000120395
     swept         5         0.000601974
    system         2          0.00024079
      take         2          0.00024079
     taken         3         0.000361185
      talk         1         0.000120395
     tangl         1         0.000120395
    target         1         0.000120395
 telegraph         3         0.000361185
telegraphist         1         0.000120395
  telephon         1         0.000120395
 temporari         1         0.000120395
   terribl         4          0.00048158
    terrif         1         0.000120395
   terrifi         2          0.00024079
      than         4          0.00048158
      that        39           0.0046954
       the       361           0.0434626
     their        34          0.00409343
      them        12          0.00144474
  themselv         6         0.000722369
      then         2          0.00024079
     there         8         0.000963159
 therfield         4          0.00048158
 therfleld         1         0.000120395
     these         2          0.00024079
      they        23          0.00276908
     thick         1         0.000120395
      thin         1         0.000120395
     thing         1         0.000120395
     think         1         0.000120395
     third         1         0.000120395
    thirti         1         0.000120395
      this        15          0.00180592
thoroughfar         1         0.000120395
     those         2          0.00024079
    though         2          0.00024079
  thousand        10          0.00120395
    thread         1         0.000120395
  threaten         2          0.00024079
     three         7         0.000842764
   through         7         0.000842764
     throw         1         0.000120395
    thrown         1         0.000120395
   thunder         1         0.000120395
       tie         1         0.000120395
      time         6         0.000722369
        to       101           0.0121599
    togeth         2          0.00024079
       tom         1         0.000120395
       too         3         0.000361185
      took         1         0.000120395
       top         2          0.00024079
 topograph         1         0.000120395
      torn         1         0.000120395
     total         1         0.000120395
    toward         9          0.00108355
      town         5         0.000601974
     train         2          0.00024079
   treasur         1         0.000120395
   tremend         1         0.000120395
    trench         5         0.000601974
     trent         2          0.00024079
     trick         1         0.000120395
     troop        16          0.00192632
      true         1         0.000120395
     truth         2          0.00024079
      tube         1         0.000120395
   tuesday         1         0.000120395
   tunstal         1         0.000120395
      turn         6         0.000722369
     twelv         1         0.000120395
    twenti         3         0.000361185
       two         9          0.00108355
     uhlan         1         0.000120395
     unabl         1         0.000120395
     under         5         0.000601974
  unemploy         1         0.000120395
    unless         1         0.000120395
    unlimb         1         0.000120395
  unreplac         1         0.000120395
  unwelcom         1         0.000120395
   unwound         1         0.000120395
        up        13          0.00156513
    upland         1         0.000120395
      upon        16          0.00192632
     upper         1         0.000120395
        us         4          0.00048158
       use         1         0.000120395
      vagu         1         0.000120395
      valu         1         0.000120395
   various         1         0.000120395
      veri         8         0.000963159
   victori         4          0.00048158
    villag         5         0.000601974
   visitor         1         0.000120395
      vive         1         0.000120395
   volcano         1         0.000120395
    volunt         4          0.00048158
       von         2          0.00024079
         w         2          0.00024079
      wait         2          0.00024079
    walden         6         0.000722369
  wansford         1         0.000120395
      want         2          0.00024079
       war         1         0.000120395
      warn         1         0.000120395
       was        46          0.00553817
      wash         1         0.000120395
   watcher         1         0.000120395
       way         4          0.00048158
        we        15          0.00180592
      weak         1         0.000120395
 wednesday         1         0.000120395
      well         4          0.00048158
     welsh         1         0.000120395
     wendi         1         0.000120395
      were        46          0.00553817
      west         5         0.000601974
  westhead         1         0.000120395
    weston         1         0.000120395
  westward         3         0.000361185
      what         3         0.000361185
      when         5         0.000601974
     where         6         0.000722369
     which        24          0.00288948
   whichev         1         0.000120395
     while        10          0.00120395
     white         3         0.000361185
whittlesford         1         0.000120395
       who        10          0.00120395
     whole         4          0.00048158
widespread         1         0.000120395
   wilford         1         0.000120395
      will         5         0.000601974
   william         3         0.000361185
      wind         3         0.000361185
      wink         1         0.000120395
      wire         2          0.00024079
      with        21          0.00252829
  withheld         1         0.000120395
    within         2          0.00024079
   without         1         0.000120395
     women         2          0.00024079
      work         4          0.00048158
     would         4          0.00048158
    wreath         1         0.000120395
     wyatt         1         0.000120395
       xth         1         0.000120395
      yard         3         0.000361185
  yarmouth         1         0.000120395
  yeomanri         1         0.000120395
      york         1         0.000120395
     young         1         0.000120395

TextDatabase/1.txt

WORD ROOTS COUNT FOR FILE: TextDatabase/1.txt

WORD ROOT	COUNTS		FREQUENCY
---------------------------------------------
         a        66           0.0120087
